User_ID,Daily_Steps,Exercise_Duration_min,Calories_Burned,Heart_Rate_bpm,Water_Intake_L
1137,14436,74,640,73,3.8
1138,7339,21,212,70,3.1
1139,9327,60,522,75,2.9
1140,11609,55,488,79,3.2
1141,12939,71,610,64,2.4
1142,9390,58,512,81,4.1
1143,10128,53,466,75,2.3
1144,7753,44,394,73,2.6
1145,8412,58,507,72,2.9
1146,13135,51,454,73,3.9
1147,8321,35,321,74,2.5
1148,11078,32,302,81,3.0
1149,8107,41,375,72,4.3
1150,11556,83,707,69,3.7
1151,11665,52,458,77,1.9
1152,10431,61,538,80,4.5
1153,7725,46,413,73,2.9
1154,5705,26,253,76,2.7
1155,10537,52,462,73,2.8
1156,12111,43,388,74,3.0
1157,14668,84,718,74,3.9
1158,12669,87,744,74,4.8
1159,10396,44,396,79,3.7
1160,11324,65,566,73,4.2
1161,5893,52,457,66,2.3
1162,12687,81,690,66,3.0
1163,8589,59,517,84,3.6
1164,8835,70,604,69,4.0
1165,12153,51,454,78,3.7
1166,9442,46,415,81,3.5
1167,9727,55,485,81,3.5
1168,9737,65,568,75,3.8
1169,10954,73,626,74,2.6
1170,6766,43,390,76,3.8
1171,11972,72,620,68,3.7
1172,10275,63,550,75,4.3
1173,9197,32,300,73,3.2
1174,10881,53,466,76,2.9
1175,9105,28,270,84,3.1
1176,10348,55,487,76,3.3
1177,9733,55,484,69,3.2
1178,8606,52,458,69,2.6
1179,9941,51,453,79,3.3
1180,11108,66,570,66,2.9
1181,7482,46,408,64,2.0
1182,8692,42,381,81,3.3
1183,11548,48,427,75,2.5
1184,12704,61,534,72,3.8
1185,8493,54,479,76,3.4
1186,7397,45,409,81,4.3
1187,6462,44,397,76,3.1
1188,7656,49,433,70,2.5
1189,10508,74,634,67,3.5
1190,10685,52,460,70,2.4
1191,8739,61,529,71,2.5
1192,12043,88,748,73,3.7
1193,9505,37,339,76,2.6
1194,8705,55,483,67,2.9
1195,13071,65,561,73,2.7
1196,8090,39,354,68,2.9
1197,8135,75,644,79,2.9
1198,7904,55,482,79,2.2
1199,14529,74,636,72,3.5
1200,11090,75,645,70,4.0
1201,14318,88,748,73,4.0
1202,8855,53,468,70,2.9
1203,13227,74,633,65,2.3
1204,10114,56,496,70,4.2
1205,10279,57,501,80,3.7
1206,13408,63,553,78,4.0
1207,9952,51,453,71,3.0
1208,7987,48,430,76,3.6
1209,9426,50,446,73,3.5
1210,9152,45,402,70,2.8
1211,7359,66,570,69,3.0
1212,9614,61,530,75,2.3
1213,6207,37,339,73,2.7
1214,7339,59,515,68,2.5
1215,9749,52,461,71,3.4
1216,8409,44,397,69,3.0
1217,9344,42,383,78,4.4
1218,11028,60,527,72,4.1
1219,11767,74,633,75,3.1
1220,9813,64,557,74,3.3
1221,10001,62,542,62,3.6
1222,9733,59,519,71,4.1
1223,13234,68,586,66,2.6
1224,7117,64,555,62,3.1
1225,8128,79,675,75,3.0
1226,7205,44,397,75,3.8
1227,9593,56,492,78,3.1
1228,8714,29,273,76,1.9
1229,8539,51,452,79,3.0
1230,12615,61,532,73,3.5
1231,11449,79,678,76,3.9
1232,10072,74,634,73,2.7
1233,10391,44,395,78,3.2
1234,10872,56,496,78,4.2
1235,11707,67,580,71,3.3
1236,10405,77,662,65,3.6
1237,9868,71,616,76,4.2
1238,9953,73,625,68,2.6
1239,10038,56,497,72,4.1
1240,11127,78,668,69,2.7
1241,10613,40,367,75,4.0
1242,7131,51,455,77,3.4
1243,9098,54,473,75,2.2
1244,11016,82,703,75,4.1
1245,12473,62,541,72,4.1
1246,5401,46,417,69,4.0
1247,11869,91,772,69,3.9
1248,12247,67,580,72,3.6
1249,9988,63,549,79,3.9
1250,10693,60,521,64,2.2
1251,10582,53,467,65,3.1
1252,8781,46,411,76,2.6
1253,6987,50,445,74,2.7
1254,7175,38,344,69,2.0
1255,6303,43,386,77,2.4
1256,8113,40,364,71,3.5
1257,7604,59,518,84,4.2
1258,9591,64,554,73,3.1
1259,11392,51,453,79,3.3
1260,7325,40,366,75,3.5
1261,7073,37,339,76,2.7
1262,13848,72,617,67,2.8
1263,9948,66,577,77,4.4
1264,9937,49,436,76,3.0
1265,8362,43,386,77,2.7
1266,10637,57,503,74,4.4
1267,13267,77,660,73,3.6
1268,8606,27,261,73,3.0
1269,12158,72,620,75,3.2
1270,7405,20,203,77,2.0
1271,10202,58,508,74,3.3
1272,9807,49,436,78,2.8
1273,10023,37,340,75,2.5
1274,12014,78,667,68,3.8
1275,11974,61,534,78,4.0
1276,10449,45,403,74,2.3
1277,9941,61,534,75,4.3
1278,11805,78,672,78,4.1
1279,9246,39,354,76,2.0
1280,9177,66,570,68,2.4
1281,7123,26,252,81,2.5
1282,9217,29,276,79,3.1
1283,7651,43,390,67,2.9
1284,7387,45,402,68,2.4
1285,9417,67,582,68,4.0
1286,13423,67,580,67,3.2
1287,10567,59,517,76,3.4
1288,9626,48,429,71,3.6
1289,10213,84,719,77,4.1
1290,11208,58,508,75,2.9
1291,13411,66,573,74,3.7
1292,9706,52,460,70,3.0
1293,12465,66,573,71,3.7
1294,8235,26,253,74,3.2
1295,9304,43,389,76,2.5
1296,11210,47,421,75,3.0
1297,13782,66,573,63,3.4
1298,8567,70,603,76,3.0
1299,10112,32,301,75,3.6
1300,8771,36,332,74,2.1
1301,7090,51,456,80,3.9
1302,6789,33,308,71,2.5
1303,11566,76,656,68,4.6
1304,7474,60,522,68,2.6
1305,10080,36,329,77,2.7
1306,8246,34,317,75,3.0
1307,9698,78,668,76,3.4
1308,11824,71,612,61,3.2
1309,9681,39,358,75,3.3
1310,10064,47,421,69,2.7
1311,10072,66,570,73,2.4
1312,9862,56,494,73,3.5
1313,10994,65,564,67,3.6
1314,10344,52,460,72,3.5
1315,12052,61,536,69,3.5
1316,8355,63,552,76,4.4
1317,10622,70,604,66,3.4
1318,13440,55,485,70,3.5
1319,7908,42,378,73,2.4
1320,9159,65,564,63,3.6
1321,11654,31,291,73,2.4
1322,11281,37,337,69,2.0
1323,9007,73,629,77,3.3
1324,9915,57,501,76,3.0
1325,12037,65,564,68,2.3
1326,7258,54,478,72,3.3
1327,12650,46,411,75,2.9
1328,11837,68,589,71,3.8
1329,8280,62,543,79,4.3
1330,8552,46,410,72,3.2
1331,8540,70,608,75,4.3
1332,10031,79,674,73,2.9
1333,10638,76,653,80,4.9
1334,10177,62,542,76,3.8
1335,9948,56,492,78,2.8
1336,10483,54,473,72,2.3
1337,8357,49,434,69,2.3
1338,10831,73,625,72,2.9
1339,7712,31,294,75,3.1
1340,11440,67,581,67,3.5
1341,9638,65,564,70,3.7
1342,7085,34,316,77,2.8
1343,8708,51,458,75,4.4
1344,7744,57,501,80,3.1
1345,8782,58,509,78,3.8
1346,15532,77,662,82,4.3
1347,10856,50,445,74,3.4
1348,12867,57,499,76,3.0
1349,5451,36,333,81,3.5
1350,12715,75,644,66,3.0
1351,11085,61,533,80,3.9
1352,8019,39,358,69,3.4
1353,6668,49,436,78,2.7
1354,9162,52,463,76,3.4
1355,16524,76,655,72,4.0
1356,11645,51,454,71,3.4
1357,9773,53,467,68,3.0
1358,9770,52,462,74,3.7
1359,11482,60,523,71,3.3
1360,9643,75,644,70,3.8
1361,10628,65,564,70,3.7
1362,9599,58,507,76,3.7
1363,12375,62,541,80,3.2
1364,6860,49,437,72,3.2
1365,8191,43,393,79,3.8
1366,9779,79,676,68,3.6
1367,10676,79,675,70,3.1
1368,10086,42,381,73,3.7
1369,9393,44,394,77,2.6
1370,7019,63,548,71,2.9
1371,8584,48,431,77,3.5
1372,9917,62,541,71,3.3
1373,9283,49,436,80,2.7
1374,11172,29,274,76,2.3
1375,11889,52,457,73,2.9
1376,10006,61,531,77,2.6
1377,8344,49,441,80,4.2
1378,10944,58,513,80,3.6
1379,8894,52,463,70,4.0
1380,8381,36,334,80,2.9
1381,12642,53,469,77,3.7
1382,11588,41,374,74,3.8
1383,8048,50,448,80,4.3
1384,9910,69,602,67,4.7
1385,9253,65,566,68,3.4
1386,5171,49,441,76,4.4
1387,7402,22,221,82,2.9
1388,10692,55,486,75,3.7
1389,12495,75,644,70,3.1
1390,8576,51,452,74,3.4
1391,8988,48,429,75,3.9
1392,11279,73,626,67,2.8
1393,8439,72,620,75,3.4
1394,11744,45,402,75,2.6
1395,10799,79,680,81,4.5
1396,8303,45,405,76,3.0
1397,10004,59,517,83,3.5
1398,9173,51,449,71,2.0
1399,12421,54,481,81,4.4
1400,12556,71,608,76,1.9
1401,9380,61,534,69,3.8
1402,10443,52,459,67,3.0
1403,12239,42,380,74,2.8
1404,11852,68,589,75,3.8
1405,9070,68,589,81,4.2
1406,8292,48,429,72,3.7
1407,10454,53,470,66,3.7
1408,11676,75,644,72,3.5
1409,8871,50,443,74,3.3
1410,9186,49,439,76,4.0
1411,10321,57,500,70,2.9
1412,8296,45,405,67,3.5
1413,8703,50,443,82,2.7
1414,7864,52,459,76,3.4
1415,9383,69,596,80,3.7
1416,10710,34,314,69,2.2
1417,8709,46,412,73,2.9
1418,13555,90,767,74,3.9
1419,6586,37,341,81,3.2
1420,9676,69,596,79,3.2
1421,10980,64,555,67,3.1
1422,10234,75,647,73,5.0
1423,9635,59,518,75,3.6
1424,8005,63,550,75,3.3
1425,9759,60,524,64,3.1
1426,10298,72,619,75,3.1
1427,12694,91,772,71,3.6
1428,6904,52,461,71,3.4
1429,6697,54,473,71,2.5
1430,7482,39,356,67,3.0
1431,6280,41,371,82,2.9
1432,10569,45,404,75,3.6
1433,9572,62,541,70,3.7
1434,8830,62,538,79,3.2
1435,11739,52,462,69,3.3
1436,9263,75,647,72,4.4
1437,8383,46,410,78,2.7
1438,9193,66,572,70,3.1
1439,14196,73,631,71,4.0
1440,14648,76,653,71,3.8
1441,10117,25,245,78,3.1
1442,12474,69,598,73,4.1
1443,12078,54,474,72,2.8
1444,7588,56,490,72,2.8
1445,9561,46,410,72,2.5
1446,13280,65,561,69,2.5
1447,8891,52,461,75,3.6
1448,7765,58,503,69,2.0
1449,6678,44,397,67,3.4
1450,9378,50,448,83,4.1
1451,12057,73,629,67,4.1
1452,12004,71,610,69,3.0
1453,8600,46,412,79,3.1
1454,10021,31,292,83,1.7
1455,7741,64,560,79,3.9
1456,10161,51,448,73,2.3
1457,7474,55,483,73,3.2
1458,5384,43,388,74,3.2
1459,9387,39,355,77,2.5
1460,9108,47,422,80,3.2
1461,15040,61,533,78,3.4
1462,8740,35,325,79,3.2
1463,11765,63,549,70,3.5
1464,10966,67,584,77,4.6
1465,7387,62,543,68,4.0
1466,10778,60,526,79,3.7
1467,9911,43,389,74,2.6
1468,10580,61,535,67,3.7
1469,9323,54,476,76,3.5
1470,10097,57,501,79,3.5
1471,10435,62,539,71,3.4
1472,7066,69,599,77,4.0
1473,9512,62,541,71,4.0
1474,9770,39,359,75,3.7
1475,10035,59,518,75,3.5
1476,11954,48,429,70,3.4
1477,13166,78,672,74,4.7
1478,10558,60,524,69,3.3
1479,13028,56,494,73,3.3
1480,9298,51,450,75,2.7
1481,10425,58,508,69,3.4
1482,9260,76,651,69,3.0
1483,9600,37,341,71,3.0
1484,10262,60,525,76,3.1
1485,7425,48,430,75,3.8
1486,11708,61,530,70,2.6
1487,10571,56,491,72,3.6
1488,7742,35,326,74,3.6
1489,14892,84,713,62,2.9
1490,9420,49,437,73,2.7
1491,10115,51,450,76,2.6
1492,11102,72,618,69,2.3
1493,7143,53,471,79,3.7
1494,12625,84,714,62,3.6
1495,9623,49,437,81,3.1
1496,10821,81,691,77,3.2
1497,10893,50,443,75,2.7
1498,11612,58,506,72,2.8
1499,9195,31,294,73,3.2
1500,10695,44,394,66,3.2
1501,11574,80,685,73,3.9
1502,12983,60,524,78,3.4
1503,13950,80,681,70,2.9
1504,8299,28,265,73,2.0
1505,10257,57,500,68,3.6
1506,11108,27,262,79,3.4
1507,8623,42,377,76,1.8
1508,7686,53,465,74,2.6
1509,9120,64,556,68,3.6
1510,13322,79,674,68,3.7
1511,9868,80,686,74,4.0
1512,10285,55,482,69,2.6
1513,12393,72,620,79,3.8
1514,7830,48,428,83,3.1
1515,8245,63,549,73,3.7
1516,11045,67,583,86,4.6
1517,10281,60,527,73,4.0
1518,7894,70,610,80,5.0
1519,10574,50,444,75,3.0
1520,8308,59,520,75,3.6
1521,12290,68,592,70,4.7
1522,9618,35,325,74,3.3
1523,4608,32,299,80,2.8
1524,6673,53,469,76,3.0
1525,14377,77,660,71,3.1
1526,8962,39,355,74,2.9
1527,10228,59,518,79,3.8
1528,7145,18,185,74,1.6
1529,9219,64,556,75,3.0
1530,11862,51,449,72,2.4
1531,12809,79,675,70,3.1
1532,9221,56,495,71,3.5
1533,9847,33,311,83,3.3
1534,11622,62,541,68,3.4
1535,12659,66,571,73,3.1
1536,7129,34,317,74,2.8
1537,10664,70,606,73,4.0
1538,10574,35,325,72,3.1
1539,10725,46,418,75,4.3
1540,8738,49,438,77,3.8
1541,8924,73,631,78,4.2
1542,9239,67,581,76,3.0
1543,8671,45,408,69,3.4
1544,11273,55,483,76,3.3
1545,13232,88,748,72,3.3
1546,9546,66,573,72,3.8
1547,10557,58,509,77,3.6
1548,11459,75,645,76,3.6
1549,10079,71,609,67,2.2
1550,10140,51,451,70,2.8
1551,10438,63,546,77,2.5
1552,12572,48,432,82,4.1
1553,10374,66,572,76,3.8
1554,11813,68,587,76,3.0
1555,8106,44,403,80,4.7
1556,9803,44,401,80,4.5
1557,10629,47,422,67,3.4
1558,12031,83,711,78,4.1
1559,7698,61,534,77,4.0
1560,10285,90,763,72,3.0
1561,9505,41,371,75,2.3
1562,6694,45,407,78,3.2
1563,9607,49,434,68,2.5
1564,17874,79,677,79,3.9
1565,9659,61,530,76,2.5
1566,9071,73,627,82,2.9
1567,9595,57,502,73,3.6
1568,11359,71,613,76,3.4
1569,6712,61,536,78,4.4
1570,11571,60,529,68,4.8
1571,11485,55,486,73,4.0
1572,8663,68,597,79,5.0
1573,7719,42,383,76,3.7
1574,9132,74,636,70,3.4
1575,13860,79,675,75,3.3
1576,8839,55,487,78,4.0
1577,12032,75,647,72,4.6
1578,12926,64,559,78,4.4
1579,11608,60,525,69,3.4
1580,10234,47,419,73,3.2
1581,12502,58,511,74,3.8
1582,8026,38,346,72,2.5
1583,6884,49,435,71,2.9
1584,9371,54,475,70,2.7
1585,10161,58,512,73,4.7
1586,9959,46,412,70,3.4
1587,12184,84,717,72,3.4
1588,9731,75,645,73,3.9
1589,13236,71,611,71,3.0
1590,11219,64,555,70,3.2
1591,11466,78,670,67,4.1
1592,13580,89,754,71,3.4
1593,12027,76,650,71,2.7
1594,9997,69,596,76,2.7
1595,8291,37,341,70,3.3
1596,11941,57,500,72,2.9
1597,9276,78,665,71,2.7
1598,10188,59,516,68,3.2
1599,14101,76,652,72,3.4
1600,6942,60,526,66,3.9
1601,12810,63,545,70,2.2
1602,7038,50,448,80,3.7
1603,11974,90,764,78,3.6
1604,11154,56,490,72,2.7
1605,9443,38,352,78,3.3
1606,11982,55,483,74,3.2
1607,9215,49,437,77,2.9
1608,7636,37,339,75,2.3
1609,10660,65,562,65,3.1
1610,9025,54,480,79,3.9
1611,13506,95,803,63,3.9
1612,9304,54,476,78,2.2
1613,8731,56,493,78,3.1
1614,11254,64,556,67,3.5
1615,11121,71,608,73,2.3
1616,10323,50,444,70,3.3
1617,7761,43,386,71,2.3
1618,11920,82,702,66,4.1
1619,7640,56,492,74,3.0
1620,8210,62,538,78,3.4
1621,8746,48,431,75,3.8
1622,7061,62,540,70,3.0
1623,9744,50,445,74,3.1
1624,8734,45,404,81,3.2
1625,7241,44,399,81,3.9
1626,8600,68,588,76,3.1
1627,9259,47,420,76,3.4
1628,9379,39,356,66,3.1
1629,10032,74,637,64,3.6
1630,10848,53,466,71,2.6
1631,9755,70,607,68,4.5
1632,10597,52,459,75,3.0
1633,11458,62,541,73,3.5
1634,11179,83,712,67,4.2
1635,12663,86,735,74,4.3
1636,11695,83,710,71,4.5
1637,11320,59,514,71,2.6
1638,8177,53,469,79,3.9
1639,10480,66,569,76,1.9
1640,7843,56,493,78,3.2
1641,8342,51,458,80,4.8
1642,8044,67,579,79,3.4
1643,7893,34,319,76,3.3
1644,12510,83,712,72,4.9
1645,8669,54,477,73,4.5
1646,9106,89,754,69,3.8
1647,8417,50,447,75,4.2
1648,11082,49,438,74,3.2
1649,9063,51,453,76,3.5
1650,6639,30,281,76,2.2
1651,9699,72,622,73,4.0
1652,9749,52,461,74,2.9
1653,9419,54,472,72,2.3
1654,8631,52,459,67,2.7
1655,14656,69,595,64,3.0
1656,9333,46,413,72,3.2
1657,7648,30,286,79,2.9
1658,11796,41,372,75,3.2
1659,10033,56,493,72,3.5
1660,11993,60,525,72,3.5
1661,7898,36,334,82,2.8
1662,5907,45,403,70,2.4
1663,8888,63,548,73,3.5
1664,8867,57,504,70,3.9
1665,13470,75,642,67,2.6
1666,5788,60,524,74,2.8
1667,9579,51,454,78,3.6
1668,10288,71,610,72,2.8
1669,11200,96,812,74,3.6
1670,12519,82,702,73,4.4
1671,7592,36,331,80,2.7
1672,8968,42,378,77,2.1
1673,9811,44,398,75,3.4
1674,12459,75,650,77,4.9
1675,13743,64,558,73,3.8
1676,9524,57,503,78,4.3
1677,10439,37,342,80,3.6
1678,9135,76,650,75,3.0
1679,11758,63,545,77,3.0
1680,8509,58,512,83,4.3
1681,9277,48,429,78,2.4
1682,7454,36,331,75,2.4
1683,8067,64,559,76,4.0
1684,12429,69,599,70,3.5
1685,8019,36,333,73,2.9
1686,12378,74,634,71,3.2
1687,9509,65,568,76,4.2
1688,8980,52,461,72,3.4
1689,11849,50,444,74,3.0
1690,10588,78,666,64,3.3
1691,9134,65,574,76,5.0
1692,9689,47,420,77,3.3
1693,11961,62,539,71,3.3
1694,11761,66,573,79,3.3
1695,9786,72,620,75,3.6
1696,12009,72,619,63,3.2
1697,13050,86,735,73,4.2
1698,6061,36,330,73,2.8
1699,12277,81,697,79,4.7
1700,12163,80,684,67,3.1
1701,17771,100,843,73,3.6
1702,8247,30,284,82,2.9
1703,10304,67,581,80,3.4
1704,6428,44,395,74,3.1
1705,6782,77,664,79,4.5
1706,8560,58,509,77,2.9
1707,10230,50,446,82,3.6
1708,9709,65,564,74,3.1
1709,6006,33,310,76,3.3
1710,7081,44,396,76,2.8
1711,10367,41,372,69,3.0
1712,10453,69,601,73,4.7
1713,9513,39,356,73,2.9
1714,14037,80,683,73,3.2
1715,7957,44,395,68,2.7
1716,9633,54,476,77,3.2
1717,7579,52,458,69,2.5
1718,6971,29,273,67,2.0
1719,10619,74,637,70,3.2
1720,7789,43,389,74,3.3
1721,12230,83,707,71,3.3
1722,9805,44,395,75,2.9
1723,11476,66,573,75,3.8
1724,7015,43,386,72,2.8
1725,11185,77,660,72,3.4
1726,8745,68,588,65,3.1
1727,8049,62,538,71,3.1
1728,13439,83,707,72,3.6
1729,9854,49,433,67,2.4
1730,9329,55,485,79,3.8
1731,11777,81,693,67,4.1
1732,7778,41,376,81,4.5
1733,11906,65,561,67,2.9
1734,10406,31,290,77,2.4
1735,9706,43,391,77,3.5
1736,7171,41,378,75,4.4
1737,8441,52,460,78,2.9
1738,8086,55,482,66,3.1
1739,8624,26,257,82,3.6
1740,9938,84,715,73,3.6
1741,7070,41,371,74,2.6
1742,8137,46,415,78,3.8
1743,12531,56,492,67,3.5
1744,10884,44,395,72,2.8
1745,9074,65,567,72,4.0
1746,7854,53,465,79,2.7
1747,10167,60,522,67,2.3
1748,10343,61,532,64,3.6
1749,9771,60,522,73,3.1
1750,6661,48,426,72,2.2
1751,7394,39,357,74,3.6
1752,8386,57,501,66,2.8
1753,8959,52,460,71,3.3
1754,11457,48,428,70,2.8
1755,7126,51,457,75,4.2
1756,12582,56,490,63,2.9
1757,13481,59,513,75,2.9
1758,10811,72,623,80,4.1
1759,8424,41,371,69,2.6
1760,8781,39,360,72,3.4
1761,7785,40,366,72,3.3
1762,7941,38,350,79,3.0
1763,9168,82,704,72,4.7
1764,14566,78,667,71,3.2
1765,8230,57,501,80,3.5
1766,8465,65,567,76,4.2
1767,8960,55,486,78,3.8
1768,10160,73,627,74,3.5
1769,9908,67,582,75,3.5
1770,9621,63,544,65,2.4
1771,10283,61,537,75,4.2
1772,8988,66,575,73,3.6
1773,11309,38,349,78,2.9
1774,13461,72,622,78,3.8
1775,12241,65,566,68,4.0
1776,13228,72,621,72,3.7
1777,9984,71,609,74,2.9
1778,12870,69,599,82,4.6
1779,10170,48,429,67,2.9
1780,9846,29,277,75,3.1
1781,10535,58,509,75,3.2
1782,13166,83,706,69,3.3
1783,8713,50,440,68,2.4
1784,13708,77,659,65,2.7
1785,12188,66,571,71,2.8
1786,10756,69,596,67,4.1
1787,9722,60,526,74,3.3
1788,9619,55,485,77,3.0
1789,10093,40,365,80,3.3
1790,10442,50,444,77,3.1
1791,11294,65,563,80,2.7
1792,10064,71,612,77,3.5
1793,8382,50,444,70,3.3
1794,9383,56,496,74,3.6
1795,10106,52,464,81,4.7
1796,10187,59,515,76,3.2
1797,13588,77,660,76,3.6
1798,10122,67,579,73,2.9
1799,10924,41,371,63,2.5
1800,8764,40,371,82,4.1
1801,8652,53,471,77,3.4
1802,11055,70,601,67,2.8
1803,9708,43,391,75,3.6
1804,9810,36,328,73,2.3
1805,8578,63,549,69,3.8
1806,10836,61,531,78,3.1
1807,9049,53,471,73,3.8
1808,9168,52,456,66,2.0
1809,12600,51,450,79,2.9
1810,7477,58,510,69,3.7
1811,9113,68,588,68,3.3
1812,8844,61,530,72,2.7
1813,11012,47,424,77,4.0
1814,6014,33,313,79,3.6
1815,8177,25,246,78,3.6
1816,13072,82,697,68,2.4
1817,10333,80,688,71,4.4
1818,6398,31,291,83,2.5
1819,12031,84,717,78,3.9
1820,10042,61,532,71,3.1
1821,13193,64,562,73,4.7
1822,9308,38,349,79,3.5
1823,7535,32,298,75,2.3
1824,10478,57,499,61,3.3
1825,13931,72,622,71,3.7
1826,11208,47,420,64,3.2
1827,9863,71,612,70,3.0
1828,11158,78,667,72,3.6
1829,9408,39,356,77,3.5
1830,8891,59,517,66,3.2
1831,7632,54,475,70,2.8
1832,10748,78,670,75,4.4
1833,15917,64,556,78,3.0
1834,9793,49,436,75,3.2
1835,9608,40,365,75,2.8
1836,12182,67,582,70,3.6
1837,9105,50,447,72,3.9
1838,9804,47,419,72,3.3
1839,8562,93,788,71,4.1
1840,8472,37,342,71,3.5
1841,9332,47,422,71,3.2
1842,9907,70,602,72,2.8
1843,12298,66,575,74,4.0
1844,10514,59,518,71,3.7
1845,13359,78,667,72,3.4
1846,11697,80,686,70,3.8
1847,10457,65,564,75,3.5
1848,8528,37,338,74,2.3
1849,9939,50,444,72,2.9
1850,8878,61,536,70,4.2
1851,11962,60,523,69,2.7
1852,11013,69,600,71,4.1
1853,8962,59,518,71,4.1
1854,12411,56,494,76,3.2
1855,6539,45,411,79,5.0
1856,9128,49,437,78,3.7
1857,11228,45,407,74,3.3
1858,7024,33,308,76,2.9
1859,6628,42,379,71,2.7
1860,7564,40,366,75,3.4
1861,9940,62,537,71,2.5
1862,10950,54,477,73,3.2
1863,10550,84,714,77,3.0
1864,10322,52,458,68,2.5
1865,8104,60,526,68,4.1
1866,9826,51,453,70,3.7
1867,8469,59,519,81,3.3
1868,10600,54,476,79,3.2
