User_ID,Calories_Consumed,Protein_Intake_g,Junk_Food_Frequency_week,Diet_Quality_Score
1610,2249,120,1,10
1611,1396,97,1,10
1612,2841,100,0,10
1613,3040,120,1,10
1614,2518,114,3,10
1615,2228,78,3,8
1616,2319,103,2,9
1617,2083,89,1,10
1618,2906,104,2,10
1619,2620,99,3,9
1620,2362,109,3,10
1621,2307,117,5,8
1622,2682,115,4,9
1623,2187,119,2,10
1624,2306,103,3,10
1625,2001,83,1,10
1626,1370,62,5,5
1627,2583,126,2,10
1628,2202,107,2,10
1629,2208,104,2,10
1630,1877,96,0,10
1631,2182,111,2,10
1632,2641,111,1,10
1633,2170,85,2,10
1634,1878,99,0,10
1635,1849,70,2,8
1636,2354,121,3,10
1637,2117,98,3,10
1638,2769,138,1,10
1639,1746,63,0,10
1640,2759,115,3,9
1641,2125,86,0,10
1642,2210,78,1,10
1643,2258,97,3,10
1644,2809,113,1,10
1645,3120,125,5,7
1646,2156,89,2,10
1647,1391,85,3,8
1648,2223,111,1,10
1649,2465,77,3,8
1650,1881,106,2,10
1651,2211,83,0,10
1652,2887,129,3,10
1653,1423,73,2,10
1654,1751,120,3,10
1655,2669,123,2,10
1656,3032,120,1,10
1657,2852,129,4,8
1658,1866,111,3,8
1659,1734,70,2,8
1660,2013,102,2,9
1661,2549,87,2,9
1662,1790,76,2,9
1663,2588,125,4,10
1664,2664,119,4,9
1665,2641,103,7,4
1666,2090,93,0,10
1667,2260,111,3,9
1668,2184,108,5,7
1669,1588,78,0,10
1670,2312,119,4,9
1671,1715,83,1,10
1672,2267,108,3,10
1673,1792,71,1,10
1674,1573,93,1,10
1675,1663,96,3,9
1676,2590,118,1,10
1677,1670,91,0,10
1678,2412,86,3,10
1679,1961,75,5,7
1680,2072,104,4,7
1681,2447,70,3,9
1682,2868,90,5,7
1683,1928,68,2,8
1684,2609,132,1,10
1685,2443,98,0,10
1686,1942,88,3,10
1687,2006,77,2,9
1688,2973,146,1,10
1689,1843,86,2,10
1690,2055,84,2,10
1691,1664,91,3,8
1692,1625,78,2,10
1693,1742,70,3,8
1694,2946,133,3,10
1695,2546,120,3,9
1696,2961,150,4,10
1697,1752,99,1,10
1698,2279,93,2,10
1699,2409,101,1,10
1700,1967,101,1,10
1701,1882,93,2,10
1702,2414,134,2,10
1703,3034,133,1,10
1704,1435,64,2,10
1705,1626,83,1,10
1706,1628,87,1,10
1707,2817,135,1,10
1708,1696,106,2,10
1709,2156,123,2,10
1710,1677,75,2,8
1711,2691,149,1,10
1712,2627,89,1,10
1713,2086,113,2,10
1714,2103,100,2,10
1715,2050,92,1,10
1716,2593,110,0,10
1717,2684,108,1,10
1718,1845,81,2,10
1719,3330,131,1,10
1720,2434,100,3,9
1721,3056,139,3,10
1722,2356,119,3,10
1723,2199,98,1,10
1724,1790,96,3,9
1725,1606,61,3,9
1726,1876,103,2,10
1727,2462,125,5,9
1728,2152,105,0,10
1729,2748,122,1,10
1730,1918,52,8,2
1731,2663,112,4,9
1732,2001,92,0,10
1733,1656,72,0,10
1734,2230,85,4,7
1735,2274,87,2,9
1736,1362,58,8,1
1737,2562,102,3,10
1738,2372,116,2,10
1739,2559,134,2,10
1740,2152,78,3,8
1741,2400,103,1,10
1742,2444,109,5,6
1743,2269,104,2,9
1744,1686,68,3,10
1745,2002,74,3,9
1746,2961,135,4,9
1747,2393,103,2,10
1748,2669,135,0,10
1749,2146,101,5,7
1750,2054,91,3,10
1751,1699,46,3,6
1752,1735,63,1,8
1753,2286,99,2,10
1754,2634,115,3,10
1755,1896,121,0,10
1756,1780,82,1,10
1757,2324,107,1,10
1758,1883,84,0,10
1759,2082,94,4,5
1760,1637,62,3,9
1761,1885,80,3,9
1762,3097,104,3,9
1763,2597,104,0,10
1764,2155,94,0,10
1765,1978,118,0,10
1766,2733,124,1,10
1767,1563,77,3,7
1768,3042,118,2,10
1769,2529,106,1,10
1770,2311,111,2,10
1771,1704,65,0,10
1772,2291,99,0,10
1773,2423,129,1,10
1774,2528,107,2,10
1775,2398,113,4,9
1776,1691,55,5,4
1777,2259,95,1,10
1778,1530,59,3,7
1779,1941,101,1,10
1780,2125,107,1,10
1781,2032,99,3,7
1782,1848,89,3,8
1783,2053,113,2,10
1784,2459,78,0,10
1785,1833,116,1,10
1786,2700,112,1,10
1787,2686,163,2,10
1788,2375,99,1,10
1789,2030,103,4,8
1790,1528,92,2,10
1791,1147,56,3,9
1792,2077,68,2,9
1793,2678,108,1,10
1794,2009,88,1,10
1795,2546,90,2,10
1796,2775,111,2,10
1797,2587,106,3,10
1798,2559,99,5,7
1799,1501,81,2,10
1800,2581,117,0,10
1801,2615,118,1,10
1802,1844,92,1,10
1803,2357,116,2,10
1804,2060,91,3,10
1805,1878,64,4,7
1806,1706,68,5,5
1807,2481,93,5,7
1808,1572,65,1,10
1809,3073,126,0,10
1810,1905,100,4,8
1811,2348,113,2,10
1812,1738,89,1,10
1813,2078,41,4,5
1814,2162,96,2,9
1815,2175,77,1,10
1816,1879,96,2,10
1817,2604,121,3,10
1818,2154,45,0,10
1819,1843,92,4,7
1820,2351,99,2,10
1821,2433,134,5,9
1822,2487,90,0,10
1823,2471,121,0,10
1824,2089,108,0,10
1825,2519,89,1,10
1826,1758,109,2,10
1827,1812,57,2,8
1828,2666,104,6,7
1829,2462,117,3,9
1830,2100,91,2,10
1831,1678,83,3,9
1832,2319,99,2,9
1833,2098,79,3,8
1834,2122,111,1,10
1835,2192,78,3,10
1836,1781,90,4,8
1837,2402,114,5,7
1838,2285,100,1,10
1839,2093,67,2,10
1840,1887,75,0,10
1841,3126,139,1,10
1842,1979,114,1,10
1843,1521,96,3,10
1844,2821,142,3,10
1845,2787,122,3,8
1846,1791,94,2,10
1847,2866,133,5,9
1848,3002,129,3,10
1849,2040,109,0,10
1850,2055,89,1,10
1851,2930,115,2,10
1852,2651,116,1,10
1853,2660,109,2,10
1854,2918,114,3,10
1855,1894,79,2,10
1856,1703,51,5,6
1857,2404,110,4,7
1858,1781,94,1,10
1859,2572,117,1,10
1860,2824,136,1,10
1861,2182,86,3,10
1862,2217,75,3,8
1863,2217,78,2,10
1864,2220,94,1,10
1865,1353,68,3,7
1866,1792,80,3,7
1867,2149,99,3,9
1868,3362,146,1,10
1869,2941,125,1,10
1870,2343,92,1,10
1871,2706,100,5,7
1872,1442,50,2,5
1873,2482,133,2,10
1874,1900,106,2,10
1875,2149,98,2,10
1876,2121,120,4,9
1877,2101,96,0,10
1878,1887,117,1,10
1879,1706,89,1,10
1880,1749,91,6,4
1881,2735,144,4,9
1882,1667,88,2,10
1883,2273,114,3,10
1884,1690,84,3,6
1885,1551,87,1,10
1886,1934,95,1,10
1887,2484,123,3,10
1888,1637,70,2,8
1889,1586,48,2,9
1890,1946,90,2,10
1891,2890,115,3,10
1892,2813,130,3,8
1893,2819,116,2,10
1894,2104,76,4,6
1895,2767,107,3,10
1896,1726,75,1,10
1897,1705,94,2,10
1898,1944,100,0,10
1899,1814,85,1,10
1900,2207,69,3,8
1901,1629,92,3,10
1902,2262,114,3,9
1903,2923,128,4,9
1904,2615,118,2,10
1905,2219,110,2,10
1906,2327,133,1,10
1907,1980,101,1,10
1908,2094,75,2,10
1909,2049,107,1,10
1910,2191,121,6,6
1911,2342,106,0,10
1912,1617,96,1,10
1913,2671,111,1,10
1914,2935,137,1,10
1915,1106,73,2,10
1916,2377,106,3,9
1917,1549,47,3,6
1918,3113,136,1,10
1919,1979,73,2,10
1920,2455,120,2,10
1921,1624,81,3,8
1922,1543,86,2,10
1923,2604,96,4,7
1924,2366,95,4,9
1925,2579,123,4,9
1926,2214,99,4,9
1927,1851,86,2,10
1928,2305,122,3,10
1929,2083,103,1,10
1930,2135,92,4,8
1931,2386,93,2,9
1932,2416,101,1,10
1933,2554,126,0,10
1934,1420,87,3,8
1935,2025,74,1,10
1936,1913,75,2,10
1937,2101,148,3,10
1938,2242,120,3,9
1939,1682,64,3,7
1940,1825,104,4,9
1941,2803,107,1,10
1942,2964,118,3,10
1943,2120,71,6,5
1944,2511,123,3,10
1945,2551,86,0,10
1946,1902,85,4,10
1947,1665,94,1,10
1948,2555,112,1,10
1949,1932,89,1,10
1950,1915,99,1,10
1951,2435,112,1,10
1952,2491,123,2,10
1953,2410,114,1,10
1954,1572,69,2,8
1955,1215,57,1,10
1956,2253,100,1,10
1957,2886,116,0,10
1958,1850,77,1,10
1959,2701,147,1,10
1960,2051,69,0,10
1961,1977,85,3,10
1962,2414,83,4,6
1963,2525,132,3,8
1964,2407,101,1,10
1965,2202,105,3,9
1966,1927,80,2,9
1967,2036,99,4,8
1968,2478,120,2,10
1969,2155,92,3,9
1970,2297,120,3,10
1971,2830,91,3,8
1972,2410,108,2,10
1973,2957,120,0,10
1974,2032,75,2,10
1975,3234,137,2,10
1976,2043,101,2,10
1977,2442,99,3,8
1978,2412,136,3,10
1979,1626,72,2,9
1980,2243,71,4,7
1981,3166,144,4,10
1982,2086,94,0,10
1983,1772,72,1,10
1984,2700,116,3,10
1985,2191,77,1,10
1986,2620,128,0,10
1987,2141,114,1,10
1988,1990,94,3,10
1989,1478,67,2,10
1990,1556,65,2,7
1991,2334,97,3,9
1992,1726,60,3,8
1993,1713,91,2,10
1994,2428,106,1,10
1995,2559,101,4,8
1996,1581,67,4,6
1997,1993,96,4,6
1998,1866,76,3,6
1999,2867,133,0,10
2000,2397,105,0,10
2001,2372,111,1,10
2002,2602,113,2,10
2003,1591,89,3,9
2004,1985,94,1,10
2005,1315,42,4,7
2006,2247,120,1,10
2007,2078,91,0,10
2008,1663,52,3,7
2009,1744,114,1,10
2010,2336,102,2,10
2011,2613,126,4,10
2012,2117,78,3,8
2013,2794,122,1,10
2014,2026,106,1,10
2015,1957,105,1,10
2016,2544,130,3,10
2017,2220,89,1,10
2018,2166,104,4,9
2019,2435,89,1,10
2020,2746,100,2,10
2021,2298,100,2,10
2022,2323,96,3,9
2023,2665,115,3,10
2024,2072,89,1,10
2025,2201,89,0,10
2026,2114,98,3,9
2027,2360,119,4,8
2028,1167,67,2,9
2029,2554,121,2,10
2030,2343,81,1,10
2031,2146,95,5,5
2032,2063,83,4,8
2033,2924,146,1,10
2034,2912,123,4,8
2035,3028,167,4,10
2036,2863,129,6,6
2037,2225,111,2,10
2038,2474,99,0,10
2039,2476,120,3,9
2040,2360,93,3,9
2041,1776,92,0,10
2042,2382,107,4,10
2043,1997,51,4,5
2044,2948,125,4,10
2045,1915,88,2,10
2046,2550,103,3,10
2047,1631,82,2,10
2048,2397,95,1,10
2049,1866,101,3,10
2050,2106,100,0,10
2051,2736,126,3,10
2052,2609,102,3,7
2053,2608,130,1,10
2054,2391,112,2,10
2055,1931,106,4,8
2056,2359,95,4,8
2057,1437,62,1,10
2058,2540,119,1,10
2059,1971,88,2,10
2060,2083,88,2,10
2061,2066,68,1,10
2062,2645,125,1,10
2063,2250,96,2,10
2064,1970,84,1,10
2065,1524,56,0,10
2066,2761,130,1,10
2067,2467,104,2,10
2068,2562,134,3,10
2069,1702,77,1,10
2070,1557,81,1,10
2071,1934,100,1,10
2072,1763,64,5,7
2073,1862,93,1,10
2074,2594,92,2,10
2075,1282,64,6,3
2076,1596,67,4,7
2077,3173,134,2,10
2078,2276,93,3,9
2079,1879,84,5,5
2080,1733,82,2,10
2081,2165,69,3,8
2082,2246,117,0,10
2083,2636,116,2,10
2084,1789,73,0,10
2085,2308,105,2,10
2086,1549,74,1,10
2087,1873,113,4,9
2088,1488,75,4,6
2089,1956,84,4,9
2090,2520,107,5,9
2091,2291,91,5,7
2092,2587,124,6,7
2093,1867,108,5,7
2094,2238,111,3,8
2095,2028,93,2,9
2096,1966,89,5,8
2097,2183,112,4,8
2098,3625,163,2,10
2099,1846,85,1,10
2100,1985,75,4,7
2101,2219,102,0,10
2102,2350,110,4,8
2103,2506,94,2,10
2104,1900,48,1,10
2105,1543,63,2,9
2106,2136,93,1,10
2107,2610,132,2,10
2108,2606,108,0,10
2109,945,64,2,9
2110,1904,81,1,10
2111,2121,67,1,10
2112,2531,87,3,9
2113,2534,118,5,9
2114,1830,88,3,9
2115,2798,124,2,10
2116,2118,90,2,10
2117,2287,98,2,10
2118,2451,135,3,10
2119,2078,92,4,8
2120,2724,105,3,10
2121,1987,108,2,10
2122,2402,114,1,10
2123,2216,108,0,10
2124,2085,100,0,10
2125,1728,90,3,9
2126,3124,115,2,10
2127,1929,72,6,6
2128,1476,52,1,10
2129,2102,71,6,4
2130,1962,89,2,10
2131,2579,84,0,10
2132,2541,100,4,8
2133,1499,65,0,10
2134,2239,93,0,10
2135,1799,66,3,8
2136,1582,81,0,10
2137,1356,87,2,10
2138,2114,83,4,7
2139,2134,77,2,9
2140,1399,58,3,7
2141,2810,150,1,10
2142,1821,92,4,8
2143,1557,74,4,6
2144,2363,105,1,10
2145,772,57,2,10
2146,1625,69,2,10
2147,2709,119,1,10
2148,2544,123,2,10
2149,1747,92,2,10
2150,2791,135,2,10
2151,2167,105,3,10
2152,2128,88,4,7
2153,2081,86,1,10
2154,2783,102,1,10
2155,2611,110,6,6
2156,2874,141,0,10
2157,2710,138,2,10
2158,2563,109,2,10
